sgrna_id	Gene	library0	R0_0	R1_0
318	neutral_67	357	344	304
319	neutral_68	369	687	440
320	neutral_68	191	134	189
321	neutral_68	1613	1691	1604
322	neutral_68	370	387	412
323	neutral_69	237	303	203
324	neutral_69	209	167	168
325	essential_11	234	203	113
326	neutral_69	263	247	180
327	neutral_69	69	58	53
328	neutral_70	435	387	466
329	neutral_70	131	140	196
330	neutral_70	399	442	469
331	neutral_70	1703	1572	1498
332	neutral_71	97	128	63
333	neutral_71	191	225	153
334	neutral_71	1703	1816	1719
335	neutral_71	161	167	158
336	essential_11	158	181	102
337	neutral_72	157	90	166
338	neutral_72	438	405	383
339	neutral_72	89	126	53
340	neutral_72	1010	1079	1065
341	neutral_73	175	201	220
342	essential_11	144	63	38
343	neutral_73	173	171	135
344	neutral_73	1166	1322	1189
345	neutral_73	228	184	282
346	neutral_74	490	528	488
347	neutral_74	125	137	139
348	neutral_74	234	230	205
349	neutral_74	295	196	283
350	neutral_75	122	169	131
351	neutral_75	870	780	811
352	essential_11	167	119	51
353	essential_12	173	33	12
354	neutral_75	591	597	522
355	neutral_75	239	194	400
356	neutral_76	202	200	158
357	neutral_76	149	170	167
358	neutral_76	262	243	178
359	neutral_76	313	322	297
360	neutral_77	316	341	298
361	neutral_77	425	382	401
362	neutral_77	417	361	491
363	neutral_77	72	87	54
364	essential_12	107	28	13
365	essential_12	99	3	2
366	neutral_78	800	887	798
367	neutral_78	114	141	115
368	neutral_78	578	441	528
369	neutral_78	283	384	334
370	neutral_79	110	110	90
371	neutral_79	271	144	235
372	neutral_79	1373	1359	1497
373	neutral_79	79	81	93
374	neutral_80	81	55	134
375	neutral_80	419	401	475
376	neutral_80	316	355	294
377	neutral_80	373	379	431
378	neutral_81	217	206	206
379	neutral_81	478	546	338
380	neutral_81	311	380	325
381	neutral_81	215	153	207
382	neutral_82	532	548	512
383	essential_12	171	25	33
384	neutral_82	565	492	652
385	neutral_82	382	449	389
386	neutral_82	88	177	194
387	neutral_83	480	518	403
388	neutral_83	96	76	125
389	neutral_83	430	306	610
390	essential_13	826	483	578
391	neutral_83	500	562	522
392	essential_13	211	37	21
393	neutral_84	192	330	147
394	neutral_84	100	162	116
395	neutral_84	176	116	239
396	neutral_84	406	355	404
397	neutral_85	400	451	509
398	neutral_85	409	370	423
399	neutral_85	1062	1048	952
400	neutral_85	445	487	485
401	neutral_86	755	677	755
402	neutral_86	377	345	355
403	neutral_86	283	275	381
404	neutral_86	310	317	396
405	neutral_87	315	403	339
406	neutral_87	472	403	550
407	neutral_87	516	562	729
408	neutral_87	206	210	185
409	neutral_88	483	491	417
410	neutral_88	177	167	110
411	neutral_88	702	849	573
412	neutral_88	543	487	477
413	neutral_89	1085	949	1259
414	neutral_89	171	142	148
415	neutral_89	612	688	611
416	neutral_89	327	239	308
417	neutral_90	236	191	351
418	neutral_90	218	249	179
419	neutral_90	558	465	732
420	neutral_90	175	197	215
421	neutral_91	328	393	324
422	essential_13	53	0	11
423	essential_13	80	8	23
424	neutral_91	267	316	289
425	neutral_91	188	162	130
426	neutral_91	31	72	32
427	neutral_92	233	194	143
428	neutral_92	558	504	664
429	neutral_92	905	838	870
430	neutral_92	814	888	830
431	essential_14	313	31	36
432	neutral_93	400	381	395
433	neutral_93	145	172	89
434	neutral_93	146	206	212
435	neutral_93	397	367	509
436	neutral_94	54	82	78
437	neutral_94	126	204	130
438	neutral_94	284	273	342
439	neutral_94	115	85	58
440	neutral_95	285	255	304
441	neutral_95	292	280	278
442	neutral_95	729	770	740
443	essential_14	1916	584	618
444	neutral_95	56	37	17
445	neutral_96	572	658	709
446	essential_14	523	378	458
447	essential_14	912	427	563
448	neutral_96	279	265	257
449	neutral_96	541	507	486
450	neutral_96	371	366	446
451	neutral_97	310	335	339
452	essential_15	21	10	2
453	neutral_97	68	88	68
454	neutral_97	223	173	249
455	neutral_97	212	143	235
456	neutral_98	212	162	209
457	neutral_98	153	188	206
458	neutral_98	53	31	49
459	growthsupressing_0	198	1973	1696
460	neutral_98	244	298	243
461	neutral_99	718	711	795
462	neutral_99	559	615	548
463	neutral_99	403	326	562
464	neutral_99	157	165	93
465	neutral_100	178	175	189
466	neutral_100	494	417	428
467	neutral_100	67	60	71
468	essential_15	37	3	14
469	neutral_100	514	322	487
470	neutral_101	1308	1206	1491
471	neutral_101	175	260	201
472	neutral_101	390	340	333
473	neutral_101	697	687	807
474	neutral_102	315	299	311
475	neutral_102	840	868	841
476	neutral_102	264	281	173
477	neutral_102	175	150	121
478	neutral_103	68	40	91
479	neutral_103	348	307	356
480	neutral_103	126	37	167
481	neutral_103	88	71	82
482	neutral_104	192	243	160
483	essential_15	619	130	65
484	essential_15	599	50	36
485	neutral_104	368	281	355
486	neutral_104	359	457	416
487	neutral_104	398	455	498
488	neutral_105	91	61	133
489	neutral_105	182	126	174
490	neutral_105	142	164	132
491	neutral_105	34	8	44
492	neutral_106	516	546	427
493	neutral_106	191	213	175
494	neutral_106	296	208	290
495	neutral_106	524	521	460
496	neutral_107	153	97	155
497	neutral_107	275	370	238
498	neutral_107	293	272	281
499	neutral_107	349	471	347
500	neutral_108	267	383	262
501	neutral_108	340	262	375
502	neutral_108	156	119	228
503	neutral_108	62	35	59
504	neutral_109	303	275	271
505	neutral_109	309	395	346
506	essential_16	63	21	2
507	neutral_109	755	838	766
508	neutral_109	104	92	38
509	neutral_110	219	257	235
510	neutral_110	143	222	130
511	neutral_110	159	174	122
512	neutral_110	281	204	274
513	neutral_111	311	345	360
514	neutral_111	233	235	282
515	neutral_111	352	369	420
516	neutral_111	254	215	313
517	neutral_112	295	344	395
518	neutral_112	1475	1460	1395
519	neutral_112	584	557	441
520	neutral_112	312	340	340
521	neutral_113	1438	1686	1622
522	neutral_113	227	134	188
523	neutral_113	98	60	95
524	neutral_113	156	226	160
525	neutral_114	496	459	578
526	neutral_114	61	32	34
527	neutral_114	207	265	227
528	neutral_114	271	257	217
529	neutral_115	199	260	275
530	neutral_115	503	670	611
531	essential_16	145	63	38
532	neutral_115	281	276	318
533	neutral_115	326	242	328
534	neutral_116	507	500	595
535	essential_16	190	69	117
536	neutral_116	129	60	152
537	neutral_116	227	188	229
538	neutral_116	131	113	102
539	neutral_117	236	185	216
540	neutral_117	1131	1041	1087
541	neutral_117	311	319	385
542	neutral_117	543	561	539
543	neutral_118	271	157	268
544	neutral_118	87	59	120
545	neutral_118	298	416	235
546	neutral_118	710	748	645
547	neutral_119	1825	1908	2016
548	neutral_119	84	41	14
549	neutral_119	142	93	135
550	neutral_119	450	413	590
551	neutral_120	96	91	165
552	neutral_120	1637	1536	1319
553	neutral_120	91	44	109
554	neutral_120	419	441	508
555	neutral_121	36	59	26
556	neutral_121	295	299	288
557	neutral_121	100	118	100
558	essential_16	207	170	150
559	neutral_121	92	60	112
560	neutral_122	1184	1036	1254
561	neutral_122	351	485	287
562	essential_17	210	89	32
563	neutral_122	63	104	129
564	neutral_122	291	184	386
565	neutral_123	585	549	581
566	neutral_123	804	832	832
567	neutral_123	103	115	176
568	neutral_123	333	244	349
569	neutral_124	517	523	389
570	neutral_124	1590	1496	1489
571	neutral_124	970	1182	816
572	neutral_124	229	250	296
573	neutral_125	204	137	172
574	neutral_125	510	466	511
575	neutral_125	94	75	90
576	neutral_125	143	86	116
577	neutral_126	276	252	182
578	neutral_126	579	608	576
579	neutral_126	248	286	251
580	neutral_126	315	319	292
581	essential_17	59	40	66
582	neutral_127	621	521	548
583	neutral_127	675	689	692
584	neutral_127	226	146	183
585	neutral_127	234	159	339
586	neutral_128	306	287	393
587	neutral_128	108	149	96
588	neutral_128	58	81	37
589	neutral_128	522	517	670
590	neutral_129	108	90	168
591	neutral_129	490	447	485
592	neutral_129	128	136	149
593	neutral_129	301	226	228
594	neutral_130	97	95	127
595	neutral_130	200	222	172
596	neutral_130	1082	1052	1133
597	neutral_130	195	218	186
598	neutral_131	91	129	79
599	essential_17	586	215	203
600	essential_17	123	23	18
601	neutral_131	125	89	69
602	neutral_131	494	382	407
603	neutral_131	573	517	538
604	neutral_132	62	49	71
605	essential_18	443	359	262
606	neutral_132	148	86	148
607	neutral_132	750	787	871
608	neutral_132	176	131	310
609	neutral_133	102	79	47
610	neutral_133	453	382	459
611	neutral_133	72	61	84
612	neutral_133	422	454	344
613	neutral_134	125	143	188
614	neutral_134	420	377	567
615	neutral_134	208	197	132
616	neutral_134	199	170	266
617	growthsupressing_1	475	2141	2590
618	neutral_135	591	520	383
619	neutral_135	153	115	187
620	neutral_135	345	292	311
621	neutral_135	980	935	974
622	neutral_136	689	794	704
623	neutral_136	88	77	61
624	neutral_136	214	187	272
625	neutral_136	328	420	300
626	neutral_137	218	159	213
627	neutral_137	247	248	214
628	neutral_137	254	230	287
629	neutral_137	184	151	165
630	neutral_138	299	302	330
631	neutral_138	601	635	814
632	essential_18	142	14	58
633	neutral_138	95	141	130
634	neutral_138	223	243	119
635	neutral_139	638	711	659
636	neutral_139	226	230	206
637	neutral_139	154	113	119
638	neutral_139	2213	2361	2277
639	essential_18	136	95	101
640	neutral_140	1542	1620	1441
641	neutral_140	200	193	254
642	neutral_140	36	38	43
643	essential_18	751	334	341
644	neutral_140	122	113	134
645	essential_19	34	0	13
646	neutral_141	230	244	250
647	neutral_141	577	537	521
648	neutral_141	246	220	283
649	neutral_141	216	139	146
650	neutral_142	274	264	282
651	neutral_142	611	634	502
652	neutral_142	77	96	90
653	essential_19	952	443	464
654	neutral_142	554	502	506
655	neutral_143	542	562	422
656	neutral_143	50	61	64
657	neutral_143	577	712	542
658	neutral_143	132	170	105
659	neutral_144	821	943	934
660	neutral_144	113	114	132
661	neutral_144	311	459	322
662	neutral_144	265	238	262
663	neutral_145	718	775	732
664	neutral_145	491	436	419
665	neutral_145	108	114	100
666	neutral_145	56	47	72
667	neutral_146	994	928	967
668	neutral_146	75	85	44
669	neutral_146	369	310	406
670	neutral_146	338	534	388
671	neutral_147	333	441	430
672	neutral_147	154	114	172
673	neutral_147	1268	1501	1122
674	neutral_147	124	148	65
675	neutral_148	522	503	462
676	essential_19	64	22	6
677	neutral_148	206	302	180
678	neutral_148	242	269	286
679	neutral_148	463	452	423
680	neutral_149	190	197	231
681	neutral_149	975	839	1010
682	neutral_149	200	162	167
683	neutral_149	967	1005	1002
684	neutral_150	61	39	139
685	neutral_150	212	168	163
686	neutral_150	497	346	577
687	neutral_150	242	211	299
688	neutral_151	301	287	289
689	neutral_151	58	134	87
690	neutral_151	158	226	164
691	neutral_151	185	161	155
692	neutral_152	159	186	128
693	neutral_152	111	83	108
694	neutral_152	230	222	266
695	neutral_152	97	175	49
696	neutral_153	1408	1623	1656
697	neutral_153	886	1050	800
698	neutral_153	556	524	632
699	neutral_153	337	432	391
700	neutral_154	293	307	315
701	neutral_154	378	251	487
702	neutral_154	113	79	191
703	neutral_154	2217	2446	2409
704	neutral_155	79	123	118
705	neutral_155	366	441	400
706	neutral_155	644	593	567
707	neutral_155	777	809	844
708	neutral_156	299	377	185
709	neutral_156	819	777	889
710	neutral_156	178	124	176
711	neutral_156	168	149	175
712	neutral_157	212	149	204
713	neutral_157	191	166	242
714	neutral_157	390	395	483
715	neutral_157	195	179	209
716	neutral_158	223	255	190
717	neutral_158	62	102	57
718	neutral_158	222	227	165
719	neutral_158	679	765	599
720	neutral_159	260	247	186
721	essential_19	262	176	228
722	neutral_159	1472	1570	1520
723	neutral_159	731	649	764
724	neutral_159	1300	1584	1248
725	essential_20	176	85	159
726	neutral_160	506	429	439
727	neutral_160	302	334	262
728	neutral_160	1125	1130	1205
729	essential_20	218	169	158
730	neutral_160	396	478	316
731	neutral_161	381	379	396
732	neutral_161	144	135	115
733	neutral_161	629	872	689
734	neutral_161	45	29	12
735	essential_20	491	393	591
736	essential_20	739	616	702
737	neutral_162	76	82	62
738	neutral_162	328	396	395
739	essential_21	54	7	0
740	neutral_162	316	290	376
741	neutral_162	125	180	208
742	neutral_163	110	72	112
743	neutral_163	1238	1097	1640
744	neutral_163	152	202	119
745	neutral_163	106	130	94
746	neutral_164	305	285	325
747	neutral_164	311	239	344
748	neutral_164	351	336	275
749	neutral_164	570	507	563
750	neutral_165	291	282	209
751	neutral_165	152	189	207
752	neutral_165	223	249	132
753	neutral_165	311	270	279
754	neutral_166	807	682	1054
755	neutral_166	662	736	667
756	essential_21	184	45	75
757	neutral_166	677	854	600
758	neutral_166	365	338	380
759	neutral_167	111	99	125
760	essential_21	52	11	20
761	neutral_167	191	240	192
762	neutral_167	138	104	182
763	essential_21	140	200	149
764	neutral_167	144	211	150
765	neutral_168	659	721	656
766	neutral_168	306	225	251
767	neutral_168	217	232	168
768	neutral_168	257	208	152
769	neutral_169	121	113	171
770	neutral_169	503	540	400
771	neutral_169	230	193	261
772	neutral_169	338	447	326
773	neutral_170	164	196	194
774	neutral_170	230	155	296
775	neutral_170	50	16	33
776	neutral_170	157	112	140
777	neutral_171	461	492	437
778	neutral_171	363	303	247
779	neutral_171	789	704	656
780	neutral_171	192	198	115
781	neutral_172	162	176	182
782	neutral_172	633	715	581
783	neutral_172	362	366	375
784	neutral_172	192	205	150
785	neutral_173	132	193	130
786	neutral_173	604	663	682
787	neutral_173	269	186	386
788	neutral_173	165	121	232
789	neutral_174	185	286	224
790	essential_22	395	455	313
791	neutral_174	40	34	40
792	growthsupressing_1	1599	10940	9866
793	neutral_174	95	127	15
794	neutral_174	288	253	238
795	growthsupressing_1	416	747	536
796	neutral_175	746	762	644
797	growthsupressing_1	773	7013	6791
798	essential_22	167	17	21
799	neutral_175	106	160	112
800	neutral_175	255	321	295
801	neutral_175	287	335	233
802	neutral_176	595	477	574
803	neutral_176	160	168	177
804	neutral_176	306	407	350
805	neutral_176	38	52	56
806	neutral_177	441	450	463
807	neutral_177	266	193	278
808	essential_22	273	75	37
809	neutral_177	998	1171	918
810	neutral_177	449	529	440
811	essential_22	608	96	158
812	neutral_178	2513	2436	2663
813	neutral_178	403	266	491
814	neutral_178	403	543	495
815	neutral_178	400	408	283
816	neutral_179	74	68	105
817	essential_23	158	22	11
818	essential_23	179	85	36
819	neutral_179	1642	1731	1804
820	neutral_179	253	199	213
821	neutral_179	55	20	48
822	neutral_180	220	180	177
823	neutral_180	746	636	640
824	neutral_180	787	787	813
825	essential_23	328	74	136
826	neutral_180	127	204	86
827	neutral_181	194	159	175
828	essential_23	391	173	116
829	essential_24	907	633	497
830	neutral_181	151	149	121
831	neutral_181	437	411	433
832	neutral_181	137	87	155
833	essential_24	552	80	64
834	neutral_182	223	256	193
835	neutral_182	324	352	334
836	growthsupressing_2	52	359	195
837	neutral_182	127	147	155
838	neutral_182	348	344	360
839	neutral_183	92	72	190
840	neutral_183	154	200	190
841	essential_24	99	9	18
842	neutral_183	633	635	711
843	neutral_183	1318	1387	1130
844	neutral_184	459	420	610
845	essential_24	144	6	31
846	essential_25	123	41	44
847	neutral_184	548	484	639
848	essential_25	151	91	21
849	neutral_184	423	506	463
850	neutral_184	531	443	667
851	neutral_185	339	281	398
852	neutral_185	106	124	110
853	neutral_185	562	551	639
854	neutral_185	165	144	196
855	neutral_186	1015	1031	1020
856	neutral_186	427	432	412
857	neutral_186	743	765	874
858	neutral_186	192	290	219
859	neutral_187	199	279	438
860	neutral_187	230	194	184
861	neutral_187	193	235	269
862	essential_25	526	189	191
863	neutral_187	116	157	88
864	neutral_188	850	797	896
865	neutral_188	225	231	214
866	neutral_188	195	183	153
867	neutral_188	265	360	362
868	neutral_189	307	181	331
869	neutral_189	1517	1602	1356
870	neutral_189	146	141	121
871	neutral_189	340	446	437
872	essential_25	828	163	179
873	neutral_190	96	113	79
874	essential_26	326	44	47
875	neutral_190	224	179	336
876	neutral_190	360	387	346
877	neutral_190	611	518	725
878	essential_26	149	21	18
879	neutral_191	1330	1530	1566
880	neutral_191	103	105	146
881	neutral_191	161	150	140
882	essential_26	136	7	13
883	neutral_191	247	215	223
884	neutral_192	63	111	39
885	neutral_192	2070	2245	2049
886	essential_26	99	44	42
887	neutral_192	127	153	84
888	neutral_192	411	405	352
889	neutral_193	89	61	152
890	essential_27	230	61	29
891	neutral_193	171	241	193
892	neutral_193	759	814	602
893	neutral_193	118	87	107
894	neutral_194	233	266	263
895	neutral_194	384	334	300
896	neutral_194	268	236	221
897	neutral_194	447	485	583
898	neutral_195	640	867	836
899	neutral_195	292	265	267
900	neutral_195	49	80	59
901	neutral_195	188	156	209
902	neutral_196	1648	1808	1776
903	neutral_196	338	226	369
904	neutral_196	97	95	107
905	essential_27	656	501	358
906	essential_27	394	405	421
907	neutral_196	382	366	375
908	essential_27	139	19	18
909	essential_28	207	34	14
910	neutral_197	953	1027	898
911	essential_28	609	94	95
912	neutral_197	156	131	149
913	neutral_197	119	57	170
914	neutral_197	86	117	109
915	neutral_198	816	771	774
916	neutral_198	847	924	920
917	neutral_198	707	759	730
918	neutral_198	750	693	849
919	neutral_199	185	206	169
920	neutral_199	271	246	370
921	neutral_199	135	162	145
922	neutral_199	149	119	134
923	neutral_200	271	336	304
924	neutral_200	242	270	210
925	neutral_200	111	123	70
926	neutral_200	84	133	62
927	neutral_201	395	417	373
928	neutral_201	158	159	134
929	neutral_201	215	229	209
930	neutral_201	97	69	93
931	neutral_202	349	334	358
932	neutral_202	181	180	158
933	neutral_202	288	279	241
934	neutral_202	113	57	78
935	essential_28	160	91	39
936	essential_28	670	151	99
937	neutral_203	863	925	828
938	neutral_203	355	367	324
939	neutral_203	122	92	129
940	neutral_203	459	297	522
941	neutral_204	870	875	982
942	neutral_204	85	68	62
943	neutral_204	895	821	863
944	neutral_204	105	114	115
945	neutral_205	912	966	929
946	neutral_205	282	262	307
947	neutral_205	38	23	48
948	neutral_205	418	333	283
949	neutral_206	820	716	825
950	essential_29	271	119	204
951	neutral_206	133	106	244
952	neutral_206	685	632	674
953	neutral_206	135	180	194
954	neutral_207	500	500	623
955	neutral_207	319	307	391
956	neutral_207	133	65	116
957	neutral_207	694	649	636
958	neutral_208	526	575	593
959	neutral_208	245	290	318
960	neutral_208	92	66	210
961	neutral_208	191	252	153
962	neutral_209	252	202	327
963	neutral_209	738	855	734
964	neutral_209	50	81	19
965	neutral_209	873	822	1056
966	neutral_210	108	108	78
967	essential_29	764	101	122
968	neutral_210	38	60	14
969	neutral_210	310	186	272
970	neutral_210	369	266	330
971	neutral_211	308	302	267
972	neutral_211	186	172	107
973	neutral_211	408	424	324
974	essential_29	216	42	20
975	neutral_211	215	221	289
976	neutral_212	462	438	382
977	neutral_212	141	168	169
978	neutral_212	225	237	357
979	neutral_212	73	39	77
980	neutral_213	157	245	125
981	neutral_213	269	330	223
982	neutral_213	174	105	270
983	neutral_213	309	398	390
984	neutral_214	71	68	87
985	neutral_214	708	707	751
986	neutral_214	153	144	86
987	neutral_214	159	159	198
988	neutral_215	1329	1628	1273
989	essential_29	92	84	88
